Organization,CanteenCode,Date,Students,Staff,OtherGuests,Total,EnrolledStudents,Comments
Sala kommun,19,2010-05-16,,,,,,
Sala kommun,19,2010-05-17,19,,,19,,
Sala kommun,19,2010-05-18,17,,,17,,
Sala kommun,19,2010-05-19,15,,,15,,
Sala kommun,19,2010-05-20,16,,,16,,
Sala kommun,19,2010-05-21,16,,,16,,
Sala kommun,19,2010-05-22,,,,,,
Sala kommun,19,2010-05-23,,,,,,
Sala kommun,19,2010-05-24,17,,,17,,
Sala kommun,19,2010-05-25,14,,,14,,
Sala kommun,19,2010-05-26,16,,,16,,
Sala kommun,19,2010-05-27,16,,,16,,
Sala kommun,19,2010-05-28,13,,,13,,
Sala kommun,19,2010-05-29,,,,,,
Sala kommun,19,2010-05-30,,,,,,
Sala kommun,19,2010-05-31,14,,,14,,
Sala kommun,19,2010-06-01,17,,,17,,
Sala kommun,19,2010-06-02,13,,,13,,
Sala kommun,19,2010-06-03,14,,,14,,
Sala kommun,19,2010-06-04,13,,,13,,
Sala kommun,19,2010-06-05,,,,,,
Sala kommun,19,2010-06-06,,,,,,
Sala kommun,19,2010-06-07,15,,,15,,
Sala kommun,19,2010-06-08,13,,,13,,
Sala kommun,19,2010-06-09,16,,,16,,
Sala kommun,19,2010-06-10,17,,,17,,
Sala kommun,19,2010-06-11,13,,,13,,
Sala kommun,19,2010-06-12,,,,,,
Sala kommun,19,2010-06-13,,,,,,
Sala kommun,19,2010-06-14,14,,,14,,
Sala kommun,19,2010-06-15,14,,,14,,
Sala kommun,19,2010-06-16,14,,,14,,
Sala kommun,19,2010-06-17,16,,,16,,
Sala kommun,19,2010-06-18,14,,,14,,
Sala kommun,19,2010-06-19,,,,,,
Sala kommun,19,2010-06-20,,,,,,
Sala kommun,19,2010-06-21,13,,,13,,
Sala kommun,19,2010-06-22,10,,,10,,
Sala kommun,19,2010-06-23,11,,,11,,
Sala kommun,19,2010-06-24,11,,,11,,
Sala kommun,19,2010-06-25,,,,,,
Sala kommun,19,2010-06-26,,,,,,
Sala kommun,19,2010-06-27,,,,,,
Sala kommun,19,2010-06-28,13,,,13,,
Sala kommun,19,2010-06-29,12,,,12,,
Sala kommun,19,2010-06-30,9,,,9,,
Sala kommun,19,2010-07-01,11,,,11,,
Sala kommun,19,2010-07-02,12,,,12,,
Sala kommun,19,2010-07-03,,,,,,
Sala kommun,19,2010-07-04,,,,,,
Sala kommun,19,2010-07-05,,,,,,
Sala kommun,19,2010-07-06,,,,,,
Sala kommun,19,2010-07-07,,,,,,
Sala kommun,19,2010-07-08,,,,,,
Sala kommun,19,2010-07-09,,,,,,
Sala kommun,19,2010-07-10,,,,,,
Sala kommun,19,2010-07-11,,,,,,
Sala kommun,19,2010-07-12,,,,,,
Sala kommun,19,2010-07-13,,,,,,
Sala kommun,19,2010-07-14,,,,,,
Sala kommun,19,2010-07-15,,,,,,
Sala kommun,19,2010-07-16,,,,,,
Sala kommun,19,2010-07-17,,,,,,
Sala kommun,19,2010-07-18,,,,,,
Sala kommun,19,2010-07-19,,,,,,
Sala kommun,19,2010-07-20,,,,,,
Sala kommun,19,2010-07-21,,,,,,
Sala kommun,19,2010-07-22,,,,,,
Sala kommun,19,2010-07-23,,,,,,
Sala kommun,19,2010-07-24,,,,,,
Sala kommun,19,2010-07-25,,,,,,
Sala kommun,19,2010-07-26,,,,,,
Sala kommun,19,2010-07-27,,,,,,
Sala kommun,19,2010-07-28,,,,,,
Sala kommun,19,2010-07-29,,,,,,
Sala kommun,19,2010-07-30,,,,,,
Sala kommun,19,2010-07-31,,,,,,
Sala kommun,19,2010-08-01,,,,,,
Sala kommun,19,2010-08-02,4,,,4,,
Sala kommun,19,2010-08-03,4,,,4,,
